x[4] - 1.0
x[10] - 1.0
x[16] - 1.0
x[19] - 1.0
x[25] - 1.0
x[28] - 1.0
x[31] - 1.0
x[42] - 1.0
x[46] - 1.0
x[53] - 1.0
x[57] - 1.0
x[65] - 1.0
x[44] - 0.9966070688062812
x[5] - 0.9674389365024366
x[27] - 0.7142372381034476
x[30] - 0.6148371867252759
x[39] - 0.5821891218585186
x[0] - 0.4361778043805551
x[26] - 0.36769521008916334
x[2] - 0.3450821035657083
x[14] - 0.14108864504355556
x[60] - 0.02052689169941046
RC x[1] - 0.0
RC x[3] - 0.0
RC x[6] - 0.0
RC x[7] - 0.0
RC x[8] - 0.0
RC x[9] - 0.0
RC x[11] - 0.0
RC x[12] - 0.0
RC x[13] - 0.0
RC x[15] - 0.0
RC x[17] - 0.0
RC x[18] - 0.0
RC x[20] - 0.0
RC x[21] - 0.0
RC x[22] - 0.0
RC x[23] - 0.0
RC x[24] - 0.0
RC x[29] - 0.0
RC x[32] - 0.0
RC x[33] - 0.0
RC x[34] - 0.0
RC x[35] - 0.0
RC x[36] - 0.0
RC x[37] - 0.0
RC x[38] - 0.0
RC x[40] - 0.0
RC x[41] - 0.0
RC x[43] - 0.0
RC x[45] - 0.0
RC x[47] - 0.0
RC x[48] - 0.0
RC x[49] - 0.0
RC x[50] - 0.0
RC x[51] - 0.0
RC x[52] - 0.0
RC x[54] - 0.0
RC x[55] - 0.0
RC x[56] - 0.0
RC x[58] - 0.0
RC x[59] - 0.0
RC x[61] - 0.0
RC x[62] - 0.0
RC x[63] - 0.0
RC x[64] - 0.0
RC x[66] - 0.0
