Item 0 - ['-0.0000', '-0.0000', '-0.0000', '0.4362', '-0.0000']
Item 1 - ['-0.0000', '-0.0000', '0.4362', '-0.0000', '-0.0000']
Item 2 - ['-0.0000', '0.4362', '-0.0000', '-0.0000', '-0.0000']
Item 3 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '0.4362']
Item 4 - ['-0.0000', '-0.0000', '-0.0000', '0.4362', '-0.0000']
Item 5 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 6 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 7 - ['-290.9340', '-290.9340', '-290.9340', '-290.9340', '-290.9340']
Item 8 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 9 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 10 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 11 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 12 - ['-0.0000', '-0.0000', '-0.0000', '0.3451', '-0.0000']
Item 13 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '0.3451']
Item 14 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '0.3451']
Item 15 - ['0.1981', '0.1469', '-0.0000', '-0.0000', '-0.0000']
Item 16 - ['-0.0000', '-0.0000', '-0.0000', '0.3451', '-0.0000']
Item 17 - ['-0.0000', '-0.0000', '-0.0000', '0.3451', '-0.0000']
Item 18 - ['0.3451', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 19 - ['-0.0000', '-0.0000', '-0.0000', '0.3451', '-0.0000']
Item 20 - ['-0.0000', '-0.0000', '-0.0000', '0.3451', '-0.0000']
Item 21 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 22 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 23 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 24 - ['-188.8471', '-188.8471', '-188.8471', '-188.8471', '-188.8471']
Item 25 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 26 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 27 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 28 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 29 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 30 - ['0.6569', '-0.0000', '-0.0000', '0.3431', '-0.0000']
Item 31 - ['-0.0000', '-0.0000', '-0.0000', '1.0000', '-0.0000']
