instance_id,families_per_bucket,top_solutions,TTB,iterations_with_added_variable_counter,added_variables_counter,execution_time,obj_value
instance01,7,"['60088-0.17579349968582392s', '66532-0.2204307997599244s', '92320-100.30090379994363s', '92320-200.37978910002857s', '92320-300.4584887996316s', '92320-400.5449800998904s', '92320-500.6254275999963s', '92320-600.074165799655s']",600.07417,1,4,600.0757,92320
instance02,11,"['242924-0.7447843002155423s', '264859-19.477892099879682s', '264859-119.75211969995871s', '264859-219.98770719999447s', '264859-320.2403192999773s', '264859-420.50341330002993s', '264859-520.7609065002762s', '264859-600.2459446000867s']",600.24594,0,0,600.2467,264859
instance03,14,"['650528-1.8297128002159297s', '682433-102.33776029990986s', '691726-203.27317410008982s', '691726-304.1308699003421s', '691726-404.9559817002155s', '691726-505.7868973002769s', '691726-600.8220580001362s']",600.82206,1,12,600.8230,691726
instance04,7,"['40743-0.3432231000624597s', '42889-0.4025023002177477s', '78841-0.7888330998830497s', '83160-100.94729979988188s', '83160-201.0866447002627s', '83160-301.240373800043s', '83160-401.3736505000852s', '83160-501.53728910023347s', '83160-600.1433351999149s']",600.14334,2,11,600.1446,83160
instance05,11,"['213928-2.240707999560982s', '229906-2.8213234995491803s', '248812-103.26566559961066s', '248812-203.87208579992875s', '248812-304.3905962998979s', '248812-404.90042789978907s', '248812-505.412075500004s', '248812-600.5203283997253s']",600.52033,1,10,600.5215,248812
instance06,14,"['635055-4.798255700152367s', '670224-105.7453185999766s', '670224-207.83431949978694s', '670224-309.59172989986837s', '670224-411.2022331999615s', '670224-512.7841302999295s', '670224-601.5770152998157s']",601.57702,0,0,601.5781,670224
instance07,12,"['181669-1.0437688999809325s', '186039-1.2169443001039326s', '226550-101.43996790004894s', '229891-201.70532609988004s', '232351-302.0603742999956s', '232351-402.3273970000446s', '232351-502.59647729992867s', '232351-600.2757163001224s']",600.27572,3,14,600.2765,232351
instance08,20,"['651480-6.0968276001513s', '682934-106.71201460016891s', '682934-207.8225301001221s', '682934-308.9831540999003s', '682934-410.1611798000522s', '682934-511.2897044001147s', '682934-601.0573165002279s']",601.05732,0,0,601.0584,682934
instance09,29,"['1739233-17.316821100190282s', '1782383-119.70799160003662s', '1782383-223.9513262002729s', '1782383-328.0997711000964s', '1782383-432.25544230034575s', '1782383-536.8263941002078s', '1782383-604.1390366000123s']",604.13904,0,0,604.1400,1782383
instance10,21,"['414711-2.2177879996597767s', '421723-2.593678599689156s', '480003-103.0261772996746s', '480003-203.50635879999027s', '480003-303.9773032995872s', '480003-404.4575224998407s', '480003-504.96629709983245s', '480003-600.447977299802s']",600.44798,1,16,600.4490,480003
instance11,38,"['1359529-18.3262684000656s', '1413173-119.65079020010307s', '1413173-221.9829767998308s', '1413173-324.33827030006796s', '1413173-426.6546705001965s', '1413173-529.0093282000162s', '1413173-602.3693563002162s']",602.36936,0,0,602.3704,1413173
instance12,54,"['3552813-82.39556080009788s', '3552813-298.4495647000149s', '3552813-408.1301811002195s', '3552813-517.4237625999376s', '3552813-609.2108831000514s']",609.21088,0,0,609.2118,3552813
