instance_id,kernel_size,families_per_bucket,top_solutions,TTB,iterations_with_added_variable_counter,added_variables_counter,execution_time,obj_value
instance01,10,5,"['51206-0.1740540000000692s', '57650-0.23069439999926544s', '86332-0.505511800000022s', '92375-350.58121630000005s', '92375-600.1216070999999s']",600.12161,2,6,600.1223,92375
instance02,20,9,"['113451-0.7051891999999498s', '119901-0.8056908999997177s', '173163-0.9421639999991385s', '231054-1.1501642999992328s', '272011-351.3200385s', '278043-600.2077202999999s']",600.20772,4,31,600.2085,278043
instance03,30,13,"['164300-1.7405846000001475s', '168475-1.9165411000003587s', '239240-2.164108599999963s', '304089-2.4769366999998965s', '371191-2.872146900000189s', '454320-3.380087900000035s', '540594-3.9898715999997876s', '621052-4.918163299999833s', '688232-64.30666850000034s', '688232-414.78458670000055s', '688232-600.5033500999998s']",600.50335,7,91,600.5045,688232
instance04,10,5,"['49753-0.35375760000169976s', '53363-0.42154800000025716s', '78841-0.8159905000011349s', '83545-350.9253385000011s', '83545-600.089641300001s']",600.08964,2,8,600.0905,83545
instance05,20,9,"['114856-2.077022499999657s', '119257-2.3117419999998674s', '170790-2.611777299998721s', '221631-3.0402412000003096s', '259988-353.30753689999983s', '259988-600.3572103999995s']",600.35721,3,27,600.3590,259988
instance06,30,13,"['172157-4.786413599998923s', '177109-5.241925899999842s', '258031-5.911198699999659s', '333694-6.799075599999924s', '411084-7.830874599998424s', '493326-9.205714599998828s', '575036-10.896582899998975s', '652863-34.140886899998804s', '686068-385.1505542999985s', '686068-601.7623504999992s']",601.76235,7,91,601.7634,686068
instance07,25,11,"['151173-1.1154346000002988s', '154731-1.2693438999995124s', '215482-2.1616264000003866s', '232145-352.34370990000025s', '232145-600.2216879000007s']",600.22169,2,18,600.2227,232145
instance08,50,20,"['298675-6.103244800000539s', '304572-6.651007200000095s', '424650-7.39648649999981s', '545524-8.378716900000654s', '662102-10.117738400000235s', '666745-360.79872070000056s', '666745-600.8069355999996s']",600.80694,4,79,600.8089,666745
instance09,75,31,"['415819-17.08244680000098s', '422967-18.238414900000862s', '597040-20.114835800000947s', '787412-22.458075100001224s', '976333-25.595907400000215s', '1161286-29.368335900000602s', '1342465-33.87795019999976s', '1511080-39.38402979999955s', '1708908-46.4609887000006s', '1796071-399.0084999999999s', '1796071-602.7270163000012s']",602.72702,8,245,602.7285,1796071
instance10,50,21,"['284003-2.2939812000004167s', '288669-2.5606967999992776s', '421723-2.9401414999992994s', '486965-353.2358512999999s', '491845-600.3306955999997s']",600.33070,3,41,600.3316,491845
instance11,100,41,"['574122-17.681948499999635s', '579173-18.71080289999918s', '819172-20.289621299998544s', '1060205-22.378991499999756s', '1306019-25.169038299998647s', '1325498-376.5781599999991s', '1335773-602.0081049s']",602.00810,5,193,602.0093,1335773
instance12,150,60,"['879229-100.3511540999989s', '886370-105.16314539999985s', '1236372-111.51897779999854s', '1582573-119.28906469999856s', '1934591-126.31392739999865s', '2278890-135.0147068999995s', '2637792-147.40547069999957s', '2995876-163.54173829999854s', '3346213-178.71328419999918s', '3648698-535.7369221999998s', '3648698-606.4126063999993s']",606.41261,8,479,606.4143,3648698
