instance_id,kernel_size,families_per_bucket,top_solutions,TTB,iterations_with_added_variable_counter,added_variables_counter,execution_time,obj_value
instance01,10,4,"['51206-0.24062570000023698s', '51206-0.243623899999875s', '51206-12.33147480000116s', '54716-12.366938500001197s', '61181-12.439052400000946s', '68370-12.514284900000348s', '68580-13.159861100000853s', '69345-19.82425450000119s', '69800-20.549552000000403s', '70684-20.66577640000105s', '70684-29.840295199999673s', '76259-30.21425040000031s', '77491-31.29722319999928s', '77624-32.38681369999904s', '78012-39.10254659999919s', '78415-39.75338430000011s', '79460-41.01902169999994s', '80529-64.99007359999996s', '81283-87.94662029999927s', '81645-89.89007999999922s', '81645-89.89898820000053s', '83324-98.48967559999983s', '83324-131.38173800000004s', '83324-160.24163989999943s', '83735-162.34978369999953s', '83735-196.28746479999973s', '83735-235.94120000000112s', '83735-272.0505272999999s', '83735-303.78914630000145s', '83735-334.6362630000003s', '83735-368.3164300999997s', '83735-402.01864130000104s', '83735-439.3720555s', '83735-478.4656787999993s']",162.34978,3,7,511.9035,83735
instance02,20,8,"['113451-0.6963701999993646s', '113451-0.700215400000161s', '113451-12.854104500000176s', '139322-12.922258700000384s', '155750-12.979119900001024s', '155774-13.049527299999681s', '156114-13.344299500000488s', '156807-14.037821100000656s', '156888-14.364649400000417s', '157243-21.532606900000246s', '157607-22.00926040000013s', '158155-24.119728199999372s', '158805-24.165860500001145s', '160004-24.215759900000194s', '160441-24.66439309999987s', '160441-37.52862970000024s', '193344-37.599635799999305s', '207223-37.673072699999466s', '207701-37.74445569999989s', '208405-41.5366557999987s', '208509-50.120754300000044s', '209344-51.00570669999979s', '209425-53.404179600000134s', '209635-60.99721109999882s', '210072-63.29987269999947s', '210072-79.02342860000135s', '233981-79.12735600000087s', '237048-79.23155980000047s', '238437-79.72808120000082s', '240278-80.70808840000063s', '240979-81.85455080000065s', '241036-89.97844590000022s', '241919-98.91686980000122s', '242526-103.6032694000005s', '247298-104.44523389999995s', '249651-108.48571679999986s', '249651-139.10190070000135s', '250476-141.97429290000036s', '250762-148.50659260000066s', '252272-151.91955290000078s', '252272-199.55709689999821s', '253320-229.61902539999937s', '253545-247.38191779999943s', '253734-256.3872653999988s', '253734-259.76063760000034s', '253763-261.2711070000005s', '253763-307.44924439999886s', '254218-326.4774566999986s', '254523-336.13295319999816s', '254523-367.49779880000096s', '255316-367.9564035000003s', '255316-413.9007734000006s', '255397-425.75735740000164s', '255496-460.29361080000126s', '255496-474.23920609999914s', '255658-492.7145056999998s', '256161-500.7993703999982s', '256161-534.3158279999989s', '256161-594.1042732999995s']",500.79937,8,32,600.2699,256161
instance03,30,12,"['164300-1.7384712000002764s', '164300-1.743726600001537s', '164300-13.707417999999961s', '223372-13.783262700000705s', '223863-14.637883999999758s', '225142-14.72105829999964s', '225388-15.366867800001273s', '225668-16.831847400000697s', '225668-31.73309060000065s', '283746-31.827032200000758s', '284797-31.9105696000006s', '286125-32.00131529999999s', '286662-32.32011899999998s', '286856-32.4067767000015s', '287589-32.731371700001546s', '287589-51.24482970000099s', '340881-51.36616099999992s', '341567-51.468796300001486s', '342927-51.57166160000088s', '342965-51.97307550000005s', '343117-53.233296500000506s', '343167-68.17193100000077s', '343167-92.43423200000143s', '408802-92.60705350000171s', '409048-96.67142660000172s', '409341-99.95494040000085s', '409381-104.53632470000048s', '409782-112.12519180000163s', '409867-114.31247170000097s', '411521-114.7921849000013s', '411642-115.40595140000187s', '412463-115.88287380000111s', '412606-123.67944950000128s', '412886-144.217478200002s', '412886-152.4730064000014s', '417259-152.62045990000115s', '486657-152.80438930000128s', '487259-152.94289740000204s', '487417-156.3048512000023s', '487947-165.0912384000021s', '487987-165.23411470000246s', '488182-166.85237520000192s', '488344-167.81218860000263s', '488726-167.9565414000026s', '490292-171.6841785000015s', '490424-173.0506000000023s', '491373-177.8650527000027s', '491671-185.45663390000118s', '491671-212.71008529999926s', '555853-212.93045449999954s', '556697-213.60033189999922s', '557135-220.97175210000023s', '558398-235.18817519999902s', '558796-255.93526679999923s', '559126-258.4720809999999s', '559126-272.8382380000003s', '574643-273.08997029999955s', '591750-273.32588140000007s', '609638-274.12803299999905s', '614043-274.7097157999997s', '614576-276.3145607999995s', '615021-294.43159939999896s', '615053-308.25271500000053s', '615053-332.9952647000009s', '616125-333.41189640000084s', '617965-333.66411120000157s', '620073-334.87144700000135s', '620332-337.13389630000165s', '621671-337.59326450000117s', '624775-339.48294550000173s', '626987-343.4557423000024s', '630268-344.4895742000008s', '630966-347.8672477000018s', '631689-348.58729460000177s', '634215-359.80803880000167s', '634215-393.4527652000015s', '635163-397.76825740000095s', '636921-400.081187400001s', '637887-406.74220910000076s', '638580-429.97771730000204s', '639024-434.2915815000015s', '639527-437.25019760000214s', '640173-437.8389134000008s', '640173-453.90288789999977s', '640205-474.7344460000004s', '640766-477.19454009999936s', '640844-506.45126399999936s', '640844-515.2718776999991s', '640909-541.2563430999999s', '642182-553.3418934999991s', '643129-557.0338422000004s', '643240-560.2142069000001s', '643573-560.937163999999s', '643573-575.6706648999989s', '644411-598.443729999999s']",598.44373,11,102,600.5298,644411
instance04,10,4,"['49753-0.3244704999997339s', '49753-0.32718600000043807s', '50457-7.181132100000468s', '50457-19.342620800000077s', '58224-19.527876299998752s', '61866-19.594796399998813s', '62633-19.92046669999945s', '62895-20.03899850000016s', '63204-20.338679599999523s', '63436-20.4261647000003s', '63952-20.47111860000041s', '63988-20.514479499999652s', '64251-23.452115199999753s', '64834-23.546011799999178s', '65028-24.62093569999888s', '65199-25.45810199999869s', '65693-35.82002139999895s', '66888-36.61861449999924s', '67284-37.25912470000003s', '67315-41.60275879999972s', '67818-44.21459870000035s', '67982-50.800476599999456s', '67982-62.488836500000616s', '68961-62.97331739999936s', '71122-64.03857299999981s', '71614-64.87359649999962s', '71734-65.52714229999947s', '71877-67.21726300000046s', '72151-69.47238769999967s', '72736-69.78724150000016s', '73298-70.03192560000025s', '73850-113.86495269999978s', '73970-114.86714659999961s', '73970-122.65438519999952s', '74233-156.31220119999853s', '74692-173.42952119999973s', '74692-182.6827876999996s', '74903-185.55439469999874s', '74903-237.89192509999884s', '74903-282.152275299999s', '74903-331.7585689000007s', '74903-381.066799799999s', '74903-435.48636029999943s', '75446-469.4001288999989s', '75657-470.5813959999996s', '75657-495.7329301999998s', '75888-541.7260994000007s', '75888-555.9942185999989s', '75888-596.6652357999992s']",541.72610,4,9,600.2679,75888
instance05,20,8,"['114856-2.0319524999995338s', '114856-2.0366735000006884s', '114856-20.997588899999755s', '150207-21.206808699998874s', '152892-21.318631899999673s', '153170-27.699985299999753s', '153494-28.5674583s', '153726-29.560515199998918s', '154269-35.42500899999868s', '154269-57.890020700000605s', '193931-58.021807800001625s', '196793-58.140505600000324s', '196941-60.98846680000133s', '197867-61.3206906000014s', '198567-61.438462100000834s', '199533-64.42181800000071s', '199739-64.54115510000156s', '200637-81.6683066000005s', '201046-82.12817750000067s', '201725-89.70438600000125s', '201924-89.88665150000088s', '202462-107.76335760000075s', '202549-111.00748910000038s', '202549-117.95445189999919s', '229035-118.28815049999866s', '231693-118.6094205999998s', '233540-120.57503299999917s', '234109-123.39298709999821s', '236167-125.30785159999868s', '236200-161.2331994999986s', '236200-178.19242909999957s', '237406-222.20768659999885s', '237406-238.28271320000022s', '237718-252.2495816999999s', '239026-253.27383520000149s', '239301-266.26636510000026s', '240622-269.5331787000014s', '241073-273.90128020000157s', '241073-298.5084504999995s', '241690-311.5797392000004s', '241723-332.583265700001s', '242562-340.4668839999995s', '242562-358.888135600002s', '242656-366.00656130000243s', '242715-399.80976530000225s', '242715-419.1136155999993s', '242715-479.5019983000002s', '242715-540.1730111000015s', '242984-596.7677045000019s']",596.76770,7,32,600.1843,242984
instance06,30,12,"['172157-5.052732299998752s', '172157-5.059528599998885s', '172157-31.9080006999975s', '238758-32.088291899997785s', '238867-32.251828399997976s', '238895-33.038046299998314s', '239247-33.20883359999789s', '239863-33.81069249999746s', '240369-35.08009189999757s', '242020-35.68165019999833s', '242710-35.82789519999824s', '242874-44.372372499998164s', '242874-81.64951870000004s', '299615-81.89851240000098s', '300741-82.09989060000044s', '302953-82.85566590000053s', '303156-83.7620134000008s', '305192-83.94554460000109s', '306003-85.55061860000023s', '307189-89.0921873999996s', '307879-93.6520283000009s', '308043-110.93501860000106s', '308043-141.84496509999917s', '366507-142.18630049999956s', '369004-143.35108799999944s', '369935-143.58571519999896s', '370752-145.4417625999995s', '371488-158.34114279999812s', '372628-159.63393409999844s', '373896-159.85974599999827s', '373901-161.19360239999878s', '375270-163.33981179999864s', '375592-169.5828281999984s', '375719-186.74633739999808s', '376014-201.38662879999902s', '376014-202.0682622000004s', '445809-202.39523589999953s', '446287-215.12048920000052s', '446435-219.08070539999972s', '446568-220.11424310000075s', '447344-220.3812584999996s', '447513-230.94703040000059s', '448440-234.97088710000025s', '448920-260.0462028000002s', '448920-262.15534730000036s', '481276-262.6141071999991s', '508657-263.035109299999s', '510010-263.34559679999984s', '511184-263.65570359999947s', '511700-278.66086319999886s', '511700-322.4784650999991s', '522042-323.6298250999989s', '563521-324.25631280000016s', '570367-325.0197540999998s', '570849-326.3392194999997s', '571371-328.2698289s', '572020-354.7503034000001s', '572020-383.1412832999995s', '583413-383.7788746999995s', '583755-384.443817899999s', '589826-385.7888616s', '590909-386.8352873999993s', '591732-391.58134099999916s', '594286-392.7427195s', '595091-412.67787809999936s', '597116-414.886760899999s', '599481-426.33615519999876s', '600409-427.83405539999876s', '600409-444.2428650999991s', '602196-462.0713717999988s', '602204-469.73912349999955s', '602609-477.0570687999989s', '602609-505.62038889999894s', '602669-527.8923226999996s', '603625-534.5463572999997s', '604359-550.5333252s', '609109-551.8223613999999s', '609109-566.3505733000002s']",551.82236,9,84,600.3562,609109
instance07,25,10,"['151173-0.9958740000001853s', '151173-1.001686300001893s', '151173-22.49951990000045s', '152240-23.203551100001278s', '156101-23.319805299999643s', '160348-23.53446840000106s', '163697-23.7559068999999s', '184125-23.8945259000011s', '187967-24.030727999999726s', '199105-24.206481299999723s', '199191-25.46583400000054s', '199609-27.251324300001215s', '199889-27.383690099999512s', '199988-50.18292509999992s', '199988-82.51181970000107s', '204557-82.82383400000072s', '207402-84.83864710000125s', '207571-86.24939010000162s', '208207-94.3567417000013s', '209581-101.80517200000031s', '210535-128.72288030000163s', '211077-130.36771780000163s', '211171-134.57481380000172s', '211242-136.59377360000144s', '211333-142.06164340000032s', '211333-143.0034483999989s', '212846-145.29915400000027s', '213046-173.44091359999948s', '213786-187.43929410000055s', '213786-203.55780440000126s', '213852-257.4683287000007s', '213852-263.8438834000008s', '215449-282.4242660000018s', '215449-324.2658554999998s', '216085-328.06058380000104s', '216234-368.25836080000045s', '217192-369.7205253000011s', '217192-384.42377320000014s', '217280-433.37676230000034s', '217280-445.3221448000004s', '217280-505.58948730000157s', '217280-565.698061000001s']",433.37676,5,19,600.1062,217280
instance08,50,20,"['298675-6.1816775999996025s', '298675-6.190093100000013s', '298675-48.808682699998826s', '338188-49.15425129999858s', '394725-49.92362259999936s', '405722-50.165732299999945s', '409033-53.32573599999887s', '409191-53.57549789999939s', '409882-55.321532599999045s', '410778-55.57913599999847s', '410843-100.00048359999892s', '411117-100.23839139999836s', '411198-101.92043119999835s', '411198-109.09918639999887s', '513633-109.60899620000055s', '514807-111.0942713000004s', '515977-111.4232807999997s', '516208-117.14809969999988s', '516507-129.0907160000006s', '517036-129.38960829999996s', '517963-129.68929879999996s', '518803-169.10645479999948s', '518803-169.1346682000003s', '554851-169.61608410000008s', '555998-170.02120839999952s', '568112-171.4388839000003s', '578943-174.51203259999966s', '583130-175.21465700000044s', '586353-175.63050680000015s', '589670-177.6064884999996s', '593426-178.1150636000002s', '601305-182.97974149999936s', '604221-184.77904320000016s', '604836-186.45928719999938s', '606498-189.07088979999935s', '607209-190.54034560000036s', '608271-191.9635333999995s', '609731-198.4409311999989s', '610084-198.91946160000043s', '611139-201.38110219999908s', '611139-229.57133199999953s', '612705-230.15965509999842s', '613359-233.4160970999983s', '618506-236.8429963999988s', '619307-244.7645722999987s', '620544-246.23937159999878s', '620688-262.4625843999984s', '621189-264.22437049999826s', '621908-281.97742429999926s', '622319-283.15450379999857s', '623380-291.3357836999985s', '623380-291.3712849000003s', '624297-294.61481860000094s', '625516-330.46849160000056s', '626598-349.49110870000004s', '626983-350.49467860000004s', '626983-353.2476097999988s', '626983-413.78289980000227s', '626988-438.392610400002s', '627426-466.02016040000126s', '627426-474.7377230000002s', '627605-484.5079225999998s', '628876-521.1426935s', '628876-536.942151700001s', '629006-544.1620303s', '629951-571.106142300001s', '630474-591.0012872000007s', '630474-597.760481700001s']",591.00129,6,75,600.4187,630474
instance09,75,30,"['415819-16.408506700001453s', '415819-16.41802060000009s', '415819-76.05347540000184s', '573596-76.58720760000142s', '576173-77.46664500000225s', '576189-83.91557110000213s', '576294-84.25549850000061s', '576999-88.52941130000181s', '577938-88.8653854000022s', '577954-90.19463730000098s', '578661-92.50923860000148s', '578713-95.81309590000092s', '579159-126.29797780000081s', '579171-132.55810340000062s', '579171-136.56727070000125s', '754987-137.14270030000262s', '757885-143.1246897000019s', '757983-147.48505230000228s', '757983-197.29739690000133s', '867515-198.05217300000186s', '932418-198.7770444000016s', '933117-211.07623910000257s', '933362-212.24347110000235s', '934023-215.18643600000178s', '934086-215.78081560000282s', '935793-217.20721080000294s', '935793-257.47400260000177s', '1103764-258.4755855000003s', '1103912-264.1185301000005s', '1105218-264.79656370000157s', '1105911-267.4522908000017s', '1105911-320.2271286000014s', '1252686-322.2775988000012s', '1268190-323.9173623000006s', '1268419-324.7231944000014s', '1269888-325.48109699999986s', '1271204-328.5285918999998s', '1271204-381.4710502000016s', '1375547-383.07013840000036s', '1416782-384.1016690000015s', '1416857-429.3341730000011s', '1416857-442.6333940000004s', '1460296-444.3118305000007s', '1474036-445.6762994000019s', '1480544-448.0508385000012s', '1557981-450.12685350000174s', '1561576-451.5610865000017s', '1562106-458.7238516000016s', '1577884-461.02353870000115s', '1577884-502.8776632000008s', '1578957-510.7048663000005s', '1579186-512.4667857000022s', '1586576-517.6972169000019s', '1601071-521.9404551000007s', '1607799-523.2308172000012s', '1611714-528.0333997000016s', '1624289-534.4918179000015s', '1625731-541.972039000002s', '1630589-544.634810800002s', '1635248-548.0980087000007s', '1637132-549.8715872000012s', '1644748-552.0216453000012s', '1647542-558.6383479000015s', '1647542-565.1196254000006s']",558.63835,8,229,604.2400,1647542
instance10,50,20,"['284003-2.288120799999888s', '284003-2.2962910999995074s', '284003-38.58425460000035s', '323073-38.89151750000019s', '365006-39.216637000001356s', '382493-40.28729209999983s', '394840-40.60385540000061s', '397951-42.26996860000145s', '398409-45.12575730000026s', '398934-50.78572570000142s', '399196-54.799905600000784s', '399669-55.666641300000265s', '400553-56.53251360000104s', '401093-63.71488240000144s', '401149-71.63003750000098s', '401171-72.83438620000015s', '402250-95.04641380000066s', '402634-98.78039030000036s', '402634-98.80296649999946s', '421846-99.17531409999901s', '440656-99.71806729999844s', '444166-101.1470380999981s', '444539-101.46311279999827s', '445403-106.60321569999905s', '446719-108.70501759999934s', '446832-112.49942059999921s', '446874-114.42611639999814s', '447156-119.20801719999872s', '447496-119.69642739999836s', '447710-124.43426559999898s', '449390-124.79608189999817s', '450331-131.20617799999854s', '451445-139.196726199998s', '453778-145.1923300999988s', '454108-156.44100259999868s', '454108-158.9430887999988s', '455088-159.43484269999863s', '456082-188.1258987000001s', '456082-220.10856199999944s', '456507-232.31050539999887s', '456557-277.1790168999996s', '456557-280.77479159999893s', '456721-333.9754052999997s', '456721-341.02161049999813s', '456721-402.2843589999993s', '457552-414.4936069999985s', '457552-463.6531047999997s', '458750-519.3322671999995s', '458750-523.7811808999995s', '458750-584.1180694999985s']",519.33227,6,40,600.7066,458750
