instance_id,solver_name,-t,-k,-i,-ni,-is,-mi,-fa,-ks,-r,-wi,-wk,-wa,-wr,-rwa,-swa,-swr,-rwr,building_solution_time,iterations_counter,improvements_counter,-r (restart) counter,improve_top_solution_success_counter,not_improvements_counter,no_families_to_remove_counter,unfeasible_add_random_families_counter,removal_number_values,mean_shaking_time,-mi limit reached,-is limit reached,-fa limit reached,-ks limit reached,reached_k_max_counter,discarded_get_best_neighbor,improvement_failures_counter,improvement_successes_counter,vnd_iterations_counter,mean_get_best_neighbor_time,final_iterations_without_improvement,vnds_k_values_counter,top_solutions,TTB,ITB,max_solutions_distance,initial_solution_obj_value,stopping_cause,execution_time,obj_value
instance08_bucket1,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,150,0,1,0,150,0,0,"{1: 74, 2: 75}",0.0001,0,1969,0,0,75,19730,1969,10,160,0.0377,150,"{1: 75, 2: 75}",['298675-0.00245s-0'],0.00245,0,0,298675,stop_iterations_without_improvement_limit,42.6017,298675
instance08_bucket2,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,149,10,1,0,139,0,0,"{1: 78, 2: 70}",0.0049,0,1994,0,3,69,20012,1994,15,164,0.0520,16,"{1: 79, 2: 70}","['298675-0.00235s-0', '338188-0.34792s-1', '394725-1.11729s-3', '405722-1.35940s-4', '409033-4.51940s-11', '409191-4.76916s-12', '409882-6.51520s-17', '410778-6.77280s-18', '410843-51.19415s-127', '411117-51.43206s-128', '411198-53.11410s-133']",53.11410,133,109,298675,stop_cpu_time_limit,60.2696,411198
instance08_bucket3,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,106,8,0,0,98,0,0,"{1: 57, 2: 49}",0.0085,0,1552,0,1,50,15621,1552,22,126,0.0664,0,"{1: 57, 2: 49}","['411198-0.00298s-0', '513633-0.51279s-1', '514807-1.99806s-4', '515977-2.32707s-5', '516208-8.05189s-12', '516507-19.99451s-31', '517036-20.29340s-32', '517963-20.59309s-33', '518803-60.01024s-106']",60.01024,106,73,411198,stop_cpu_time_limit,60.0103,518803
instance08_bucket4,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,69,17,0,0,52,0,56,"{1: 41, 2: 28}",0.1234,0,992,0,100,24,9982,992,15,83,0.0916,31,"{1: 41, 2: 28}","['518803-0.00452s-0', '554851-0.48594s-1', '555998-0.89106s-2', '568112-2.30874s-4', '578943-5.38188s-7', '583130-6.08451s-8', '586353-6.50036s-9', '589670-8.47634s-11', '593426-8.98492s-12', '601305-13.84959s-18', '604221-15.64889s-20', '604836-17.32914s-22', '606498-19.94074s-25', '607209-21.41020s-26', '608271-22.83338s-27', '609731-29.31078s-34', '610084-29.78931s-35', '611139-32.25095s-38']",32.25095,38,7,518803,stop_cpu_time_limit,60.4100,611139
instance08_bucket5,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,36,10,0,0,26,0,330,"{1: 22, 2: 14}",0.7920,2,522,3,366,13,5263,522,13,46,0.1114,0,"{1: 22, 2: 14}","['611139-0.00460s-0', '612705-0.59292s-1', '613359-3.84936s-3', '618506-7.27626s-4', '619307-15.19784s-9', '620544-16.67263s-10', '620688-32.89585s-22', '621189-34.65763s-23', '621908-52.41069s-32', '622319-53.58777s-33', '623380-61.76905s-36']",61.76905,36,12,611139,stop_cpu_time_limit,61.7691,623380
instance08_bucket6,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,37,4,0,0,33,0,332,"{1: 21, 2: 16}",0.7828,0,537,5,369,17,5411,537,8,45,0.1080,1,"{1: 21, 2: 16}","['623380-0.00488s-0', '624297-3.24841s-3', '625516-39.10209s-26', '626598-58.12470s-35', '626983-59.12827s-36']",59.12827,36,23,623380,stop_cpu_time_limit,61.8485,626983
instance08_bucket7,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,31,0,0,0,31,0,422,"{1: 16, 2: 15}",1.1456,0,395,8,453,16,3957,395,2,33,0.1115,31,"{1: 16, 2: 15}",['626983-0.00469s-0'],0.00469,0,0,626983,stop_cpu_time_limit,60.5055,626983
instance08_bucket8,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,33,2,0,0,31,0,329,"{1: 18, 2: 15}",0.8592,1,521,2,362,16,5246,521,11,42,0.1103,5,"{1: 18, 2: 15}","['626983-0.00499s-0', '626988-24.61470s-13', '627426-52.24225s-28']",52.24225,28,15,626983,stop_cpu_time_limit,60.9240,627426
instance08_bucket9,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,32,2,0,0,30,0,386,"{1: 17, 2: 15}",1.0193,1,433,6,418,15,4356,433,4,35,0.1209,8,"{1: 17, 2: 15}","['627426-0.00495s-0', '627605-9.77515s-5', '628876-46.40992s-24']",46.40992,24,19,627426,stop_cpu_time_limit,62.1755,628876
instance08_bucket10,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,35,3,0,0,32,0,280,"{1: 19, 2: 16}",0.7238,0,529,3,315,16,5315,529,8,43,0.1189,5,"{1: 19, 2: 16}","['628876-0.00491s-0', '629006-7.22479s-3', '629951-34.16890s-16', '630474-54.06405s-30']",54.06405,30,14,628876,stop_cpu_time_limit,60.7880,630474
