instance_id,kernel_size,families_per_bucket,top_solutions,TTB,iterations_with_added_variable_counter,added_variables_counter,execution_time,obj_value
instance01,10,4,"['51206-0.0011625999977695756s', '51951-15.132942100004584s', '71461-37.04329610000423s', '76845-60.050611200000276s']",60.05061,2,6,60.0517,93041
instance02,20,8,"['113451-0.0019724000012502074s', '113451-12.997739799997362s', '159774-36.947004800000286s', '206357-60.040144699996745s']",60.04014,2,16,60.0414,276500
instance03,30,12,"['164300-0.0029731999966315925s', '164300-11.666204099994502s', '226671-41.81214779999573s', '287634-60.01536479999777s']",60.01536,2,24,60.0166,712635
instance04,10,4,"['49753-0.0018283999961568043s', '50587-18.01998829999502s', '67138-44.12363929999992s', '76325-60.21795579999889s']",60.21796,2,6,60.2190,84231
instance05,20,8,"['114856-0.003210199996829033s', '114856-19.415988499997184s', '154958-60.01236529999733s']",60.01237,1,8,60.0136,258883
instance06,30,12,"['172157-0.004570599994622171s', '172157-30.004889199997706s', '243494-60.13902369999414s']",60.13902,1,12,60.1407,684413
instance07,25,10,"['151173-0.00335099999938393s', '151173-21.4810273999974s', '197631-60.10274059999938s']",60.10274,1,10,60.1038,232779
instance08,50,20,"['298675-0.007034499998553656s', '298675-41.94717200000014s', '407003-60.32947759999661s']",60.32948,1,20,60.3308,663129
instance09,75,30,"['415819-0.011580300000787247s', '415819-60.13724699999875s']",60.13725,0,0,60.1385,1812022
instance10,50,20,"['284003-0.005878299998585135s', '284003-35.24136549999821s', '396193-60.35335309999937s']",60.35335,1,20,60.3544,492780
instance11,100,40,"['574122-0.012440200000128243s', '574122-60.2855206000022s']",60.28552,0,0,60.2869,1374921
instance12,150,60,"['879229-0.02300459999969462s', '879229-60.99817349999648s']",60.99817,0,0,60.9993,3684472
