instance_id,solver_name,-t,-k,-i,-ni,-is,-mi,-fa,-ks,-r,-wi,-wk,-wa,-wr,-rwa,-swa,-swr,-rwr,building_solution_time,iterations_counter,improvements_counter,-r (restart) counter,not_improvements_counter,no_families_to_remove_counter,unfeasible_add_random_families_counter,removal_number_values,mean_shaking_time,-mi limit reached,-is limit reached,-fa limit reached,-ks limit reached,reached_k_max_counter,discarded_get_best_neighbor,improvement_failures_counter,improvement_successes_counter,vnd_iterations_counter,mean_get_best_neighbor_time,final_iterations_without_improvement,vnds_k_values_counter,top_solutions,initial_solution_obj_value,stopping_cause,execution_time,obj_value
G1_SC1_instance1-k3_f7_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0461,2389,5,77,2384,0,0,"{1: 722, 2: 796, 3: 794}",0.1533,7960,3471,2409,64742,794,27087,3471,289,1788,0.0061,3,"{1: 799, 2: 796, 3: 794}","['161-0.04672s', '171-0.23648s', '191-0.58877s', '193-72.72942s', '214-346.24486s', '216-378.08266s']",161,stop_instance_optimum,378.5623,216
G1_SC1_instance2-k3_f8_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0392,3972,0,132,3972,0,0,"{1: 1192, 2: 1324, 3: 1324}",0.1332,32320,5510,4150,95971,1324,22902,5510,92,2854,0.0155,3972,"{1: 1324, 2: 1324, 3: 1324}",['243-0.03977s'],243,stop_cpu_time_limit,600.0769,243
G1_SC1_instance3-k3_f10_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1022,3135,0,104,3135,0,0,"{1: 941, 2: 1045, 3: 1045}",0.1558,41838,5390,3168,79410,1045,12154,5390,66,2781,0.0231,3135,"{1: 1045, 2: 1045, 3: 1045}",['289-0.10293s'],289,stop_cpu_time_limit,600.2131,289
G1_SC1_instance4-k3_f8_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0890,13,3,0,10,0,0,"{1: 6, 2: 4, 3: 3}",0.1402,50,6,15,285,3,10,6,0,4,0.0248,3,"{1: 6, 2: 4, 3: 3}","['207-0.08965s', '211-1.19529s', '223-1.50156s', '235-1.66396s']",207,stop_instance_optimum,2.0685,235
G1_SC1_instance5-k3_f10_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0524,3266,2,108,3264,0,0,"{1: 982, 2: 1088, 3: 1088}",0.1848,2830,946,3358,81395,1088,6779,946,92,362,0.0141,3243,"{1: 1090, 2: 1088, 3: 1088}","['327-0.05304s', '376-0.21244s', '417-3.88236s']",327,stop_cpu_time_limit,600.2569,417
G1_SC1_instance6-k3_f13_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0560,2879,4,95,2875,0,0,"{1: 867, 2: 959, 3: 958}",0.1674,32163,5802,2900,71790,958,25875,5802,25,2901,0.0226,2793,"{1: 962, 2: 959, 3: 958}","['342-0.05669s', '351-2.06435s', '372-2.25205s', '391-16.56029s', '404-18.13668s']",342,stop_cpu_time_limit,600.0353,404
G1_SC1_instance7-k5_f9_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1061,1046,7,31,1039,0,0,"{1: 321, 2: 348, 3: 346}",0.1297,14409,2068,1058,27481,345,6272,2068,3,1040,0.0181,3,"{1: 352, 2: 348, 3: 346}","['188-0.10669s', '189-1.54164s', '193-1.68168s', '201-5.75611s', '214-79.37424s', '215-83.27403s', '218-89.98119s', '223-169.18905s']",188,stop_instance_optimum,169.6432,223
G1_SC1_instance8-k5_f8_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0968,34,1,1,33,0,0,"{1: 11, 2: 11, 3: 11}",0.1493,424,78,35,914,11,356,78,7,41,0.0124,3,"{1: 12, 2: 11, 3: 11}","['278-0.09751s', '302-5.48318s']",278,stop_instance_optimum,6.0930,302
G1_SC1_instance9-k5_f9_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0669,2853,0,95,2853,0,0,"{1: 856, 2: 951, 3: 951}",0.1641,49529,5124,2826,77220,951,1714,5124,22,2646,0.0285,2853,"{1: 951, 2: 951, 3: 951}",['259-0.06759s'],259,stop_cpu_time_limit,600.4645,259
G1_SC1_instance10-k5_f9_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0666,3507,3,115,3504,0,0,"{1: 1056, 2: 1168, 3: 1168}",0.1480,33490,4148,3650,88120,1168,7998,4148,9,2234,0.0233,3450,"{1: 1171, 2: 1168, 3: 1168}","['219-0.06720s', '261-0.18955s', '288-7.62830s', '304-8.92159s']",219,stop_cpu_time_limit,600.2926,304
G1_SC1_instance11-k5_f11_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1269,3404,7,111,3397,0,0,"{1: 1028, 2: 1133, 3: 1132}",0.1616,13900,5735,3511,82568,1132,43684,5735,96,2942,0.0114,3354,"{1: 1139, 2: 1133, 3: 1132}","['299-0.12762s', '311-0.36369s', '313-0.58206s', '320-0.77381s', '359-4.61113s', '365-4.81792s', '384-9.64387s', '409-11.12669s']",299,stop_cpu_time_limit,600.6860,409
G1_SC1_instance12-k5_f10_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0789,2682,7,88,2675,0,0,"{1: 809, 2: 893, 3: 892}",0.1865,32860,4249,2674,71456,890,9702,4249,80,2285,0.0266,2616,"{1: 897, 2: 893, 3: 892}","['258-0.07974s', '262-0.53526s', '275-0.73923s', '276-1.44660s', '282-3.88772s', '285-11.83796s', '291-12.03809s', '301-13.56294s']",258,stop_cpu_time_limit,600.6512,301
G1_SC1_instance13-k10_f7_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0969,4085,1,136,4084,0,0,"{1: 1226, 2: 1362, 3: 1361}",0.1517,0,0,4015,116436,1361,0,0,0,0,0.0000,4083,"{1: 1362, 2: 1362, 3: 1361}","['116-0.09755s', '120-0.35218s']",116,stop_cpu_time_limit,600.3012,120
G1_SC1_instance14-k10_f7_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1137,514,1,17,513,0,0,"{1: 155, 2: 171, 3: 171}",0.1315,353,57,518,13786,171,217,57,3,49,0.0105,3,"{1: 172, 2: 171, 3: 171}","['108-0.11425s', '112-65.79696s']",108,stop_instance_optimum,66.2396,112
G1_SC1_instance15-k10_f11_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1825,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},['270-0.18317s'],270,stop_instance_optimum,0.1832,270
G1_SC1_instance16-k10_f9_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1137,3304,1,110,3303,0,0,"{1: 992, 2: 1101, 3: 1101}",0.1637,26283,5427,3361,90744,1101,27999,5427,20,2801,0.0139,3003,"{1: 1102, 2: 1101, 3: 1101}","['209-0.11433s', '226-55.11418s']",209,stop_cpu_time_limit,600.0404,226
G1_SC1_instance17-k10_f12_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1475,3615,0,120,3615,0,0,"{1: 1085, 2: 1205, 3: 1205}",0.1611,8865,1236,3628,95566,1205,3498,1236,20,512,0.0281,3615,"{1: 1205, 2: 1205, 3: 1205}",['240-0.14819s'],240,stop_cpu_time_limit,600.2792,240
G1_SC1_instance18-k10_f12_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1580,2763,0,92,2763,0,0,"{1: 829, 2: 921, 3: 921}",0.1884,27211,3524,2695,77796,921,8040,3524,63,1896,0.0266,2763,"{1: 921, 2: 921, 3: 921}",['248-0.15890s'],248,stop_cpu_time_limit,600.1796,248
G1_SC2_instance1-k3_f8_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0815,4195,1,139,4194,0,0,"{1: 1260, 2: 1398, 3: 1398}",0.1117,67292,8400,4404,96479,1398,16796,8400,128,4218,0.0171,4194,"{1: 1399, 2: 1398, 3: 1398}","['162-0.08235s', '186-0.20944s']",162,stop_cpu_time_limit,600.3224,186
G1_SC2_instance2-k3_f7_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0916,65,2,1,63,0,0,"{1: 21, 2: 22, 3: 21}",0.1258,150,43,64,1657,20,280,43,1,17,0.0091,3,"{1: 22, 2: 22, 3: 21}","['123-0.09234s', '132-0.79002s', '141-8.19780s']",123,stop_instance_optimum,8.5707,141
G1_SC2_instance3-k3_f9_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0453,3312,0,110,3312,0,0,"{1: 994, 2: 1104, 3: 1104}",0.1584,32699,5564,3298,87094,1104,23265,5564,225,2981,0.0158,3312,"{1: 1104, 2: 1104, 3: 1104}",['311-0.04593s'],311,stop_cpu_time_limit,600.4554,311
G1_SC2_instance4-k3_f9_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0894,104,2,2,102,0,0,"{1: 34, 2: 34, 3: 34}",0.1500,500,163,103,2810,34,1136,163,6,85,0.0092,3,"{1: 36, 2: 34, 3: 34}","['192-0.08993s', '209-4.49899s', '218-16.43162s']",192,stop_instance_optimum,16.9950,218
G1_SC2_instance5-k3_f9_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0543,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},['196-0.05492s'],196,stop_instance_optimum,0.0549,196
G1_SC2_instance6-k3_f13_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0544,3120,0,103,3120,0,0,"{1: 937, 2: 1040, 3: 1040}",0.1454,50683,5828,3119,77565,1040,7693,5828,70,2963,0.0272,3120,"{1: 1040, 2: 1040, 3: 1040}",['320-0.05508s'],320,stop_cpu_time_limit,600.4049,320
G1_SC2_instance7-k5_f8_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0718,3290,3,108,3287,0,0,"{1: 990, 2: 1096, 3: 1096}",0.1584,38827,6561,3208,89963,1095,26784,6561,4,3286,0.0145,3270,"{1: 1098, 2: 1096, 3: 1096}","['152-0.07251s', '164-3.54191s', '175-3.69038s', '182-3.85316s']",152,stop_cpu_time_limit,600.4452,182
G1_SC2_instance8-k5_f8_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0984,3831,3,126,3828,0,0,"{1: 1152, 2: 1277, 3: 1276}",0.1416,26971,7680,3916,100723,1275,49941,7680,54,3812,0.0095,3675,"{1: 1278, 2: 1277, 3: 1276}","['232-0.09903s', '250-3.09104s', '265-21.90748s', '281-22.07956s']",232,stop_cpu_time_limit,600.0866,281
G1_SC2_instance9-k5_f9_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1032,3319,1,110,3318,0,0,"{1: 997, 2: 1106, 3: 1106}",0.1636,24472,4704,3257,92277,1106,22669,4704,54,2201,0.0155,3318,"{1: 1107, 2: 1106, 3: 1106}","['140-0.10395s', '141-0.30068s']",140,stop_cpu_time_limit,600.0725,141
G1_SC2_instance10-k5_f10_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1386,3155,2,104,3153,0,0,"{1: 949, 2: 1051, 3: 1051}",0.1666,29445,4727,3118,85530,1051,17888,4727,25,2137,0.0190,3018,"{1: 1053, 2: 1051, 3: 1051}","['299-0.13935s', '306-13.57691s', '308-26.26163s']",299,stop_cpu_time_limit,600.4519,308
