instance_id,solver_name,-t,-k,-i,-ni,-is,-mi,-fa,-ks,-r,-wi,-wk,-wa,-wr,-rwa,-swa,-swr,-rwr,building_solution_time,iterations_counter,improvements_counter,-r (restart) counter,improve_top_solution_success_counter,not_improvements_counter,no_families_to_remove_counter,unfeasible_add_random_families_counter,removal_number_values,mean_shaking_time,-mi limit reached,-is limit reached,-fa limit reached,-ks limit reached,reached_k_max_counter,discarded_get_best_neighbor,improvement_failures_counter,improvement_successes_counter,vnd_iterations_counter,mean_get_best_neighbor_time,final_iterations_without_improvement,vnds_k_values_counter,top_solutions,TTB,ITB,max_solutions_distance,initial_solution_obj_value,stopping_cause,execution_time,obj_value
instance01,vnds,600,2,0,0,10,100,30,20,80,True,True,True,True,False,False,False,False,0.2224,909,15,6,0,894,0,10415,"{1: 456, 2: 447}",0.2499,167,12964,220,11318,447,129986,12964,138,1034,0.0522,120,"{1: 462, 2: 447}","['77406-0.22414s-0', '77610-4.49981s-7', '77864-20.48966s-28', '77876-34.44300s-47', '77950-45.76005s-70', '78787-53.74435s-83', '79130-61.61045s-96', '79256-64.62275s-101', '80027-84.74101s-136', '80330-170.77385s-257', '80539-180.41131s-272', '80840-246.70535s-359', '81463-335.27764s-496', '82264-362.21332s-537', '82496-497.69391s-754', '82543-519.40458s-789']",519.40458,789,217,77406,stop_cpu_time_limit,600.2763,82543
instance02,vnds,600,2,0,0,10,100,30,20,80,True,True,True,True,False,False,False,False,0.8219,315,8,1,0,307,0,4206,"{1: 161, 2: 153}",0.6841,115,4649,80,4520,154,46605,4649,64,370,0.1499,55,"{1: 162, 2: 153}","['242924-0.82522s-0', '243575-15.90548s-9', '243602-175.06128s-82', '243695-214.13517s-107', '244264-434.98554s-220', '245049-436.45548s-221', '245965-480.56502s-250', '246202-494.75597s-259', '246412-496.08050s-260']",496.08050,260,113,242924,stop_cpu_time_limit,600.3411,246412
instance03,vnds,600,2,0,0,10,100,30,20,80,True,True,True,True,False,False,False,False,2.3041,174,6,0,0,168,0,2976,"{1: 90, 2: 84}",1.9264,5,2195,61,3150,84,21979,2195,9,183,0.2138,22,"{1: 90, 2: 84}","['650528-2.31011s-0', '651239-112.77119s-35', '651541-116.47711s-36', '651749-160.59217s-51', '651914-314.35533s-96', '652437-337.57007s-103', '653127-512.66111s-152']",512.66111,152,49,650528,stop_cpu_time_limit,600.9131,653127
instance04,vnds,600,2,0,0,10,100,30,20,80,True,True,True,True,False,False,False,False,0.3781,533,5,5,0,528,0,7233,"{1: 264, 2: 264}",0.5474,27,7684,172,7761,264,77157,7684,81,609,0.0731,304,"{1: 269, 2: 264}","['73116-0.38051s-0', '73384-7.22682s-7', '74462-7.93709s-8', '75087-33.61540s-29', '75674-58.14117s-54', '76695-228.82783s-229']",228.82783,229,175,73116,stop_cpu_time_limit,602.5627,76695
instance05,vnds,600,2,0,0,10,100,30,20,80,True,True,True,True,False,False,False,False,3.1611,185,5,0,0,180,0,2676,"{1: 95, 2: 90}",1.4051,36,2627,54,2861,90,26356,2627,36,215,0.2308,44,"{1: 95, 2: 90}","['226410-3.16945s-0', '227469-269.49877s-79', '227605-384.83377s-114', '228044-412.86873s-123', '228322-447.81508s-134', '229453-468.51412s-141']",468.51412,141,79,226410,stop_cpu_time_limit,600.0966,229453
instance06,vnds,600,2,0,0,10,100,30,20,80,True,True,True,True,False,False,False,False,5.7141,100,2,0,0,98,0,1492,"{1: 51, 2: 49}",3.3179,2,1283,27,1592,49,12843,1283,6,106,0.3723,4,"{1: 51, 2: 49}","['637803-5.72814s-0', '638990-464.48155s-77', '639268-575.18939s-96']",575.18939,96,77,637803,stop_cpu_time_limit,606.1266,639268
instance07,vnds,600,2,0,0,10,100,30,20,80,True,True,True,True,False,False,False,False,1.0308,426,11,2,0,415,0,3468,"{1: 217, 2: 207}",0.6936,1,5390,47,3892,208,53995,5390,24,448,0.0997,191,"{1: 219, 2: 207}","['215686-1.03553s-0', '215692-31.67911s-25', '215833-54.60041s-42', '216661-64.06907s-51', '217768-79.27424s-64', '218342-162.98785s-127', '218364-189.93327s-148', '218743-222.85005s-171', '218861-235.16774s-178', '219867-248.40950s-189', '220813-312.08664s-234', '221360-314.81198s-235']",314.81198,235,63,215686,stop_cpu_time_limit,601.1895,221360
instance08,vnds,600,2,0,0,10,100,30,20,80,True,True,True,True,False,False,False,False,6.3328,119,4,0,0,115,0,1699,"{1: 62, 2: 57}",3.0803,0,1540,32,1818,58,15443,1540,9,128,0.2656,11,"{1: 62, 2: 57}","['654634-6.34418s-0', '655029-123.55527s-23', '655223-329.79131s-68', '655369-394.66826s-79', '656055-543.89299s-108']",543.89299,108,45,654634,stop_cpu_time_limit,605.9663,656055
instance09,vnds,600,2,0,0,10,100,30,20,80,True,True,True,True,False,False,False,False,16.9438,45,1,0,0,44,0,725,"{1: 23, 2: 22}",8.5701,0,536,17,770,22,5360,536,0,45,0.6579,30,"{1: 23, 2: 22}","['1739233-16.97148s-0', '1739759-199.92115s-15']",199.92115,15,15,1739233,stop_cpu_time_limit,603.9732,1739759
instance10,vnds,600,2,0,0,10,100,30,20,80,True,True,True,True,False,False,False,False,2.4694,192,8,0,0,184,0,2051,"{1: 100, 2: 92}",1.7802,0,2349,36,2243,92,23524,2349,6,198,0.1940,7,"{1: 100, 2: 92}","['460100-2.47837s-0', '460229-184.76070s-58', '460601-203.91011s-63', '460664-253.15210s-78', '460800-287.26034s-87', '462025-334.56141s-104', '462597-380.63231s-117', '463133-491.84957s-154', '463693-572.04704s-185']",572.04704,185,58,460100,stop_cpu_time_limit,604.8379,463693
